"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5120","Provider links open the film's page in a new tab, safely","desktop","2026-09-17","passed","2026-09-17","""Де подивитись"" — where a film can be watched","features/where-to-watch.feature.spec.js","",""
"","6890","Landscape renders without sideways scroll","phone-landscape","2026-09-17","passed","2026-09-17","Phone behaviour — portrait and landscape","features/mobile.feature.spec.js","",""
"","6287","The movie modal locks background scroll and restores the position","phone-portrait","2026-09-17","passed","2026-09-17","Phone behaviour — portrait and landscape","features/mobile.feature.spec.js","",""
"","7778","A collection opens AS the catalog, under the state plate","desktop","2026-09-17","passed","2026-09-17","The collections page — top, friends, mine and the SeenIt lists","features/recommendations.feature.spec.js","",""
"","7104","Repeated modal open-close cycles leave scroll unlocked","phone-portrait","2026-09-17","passed","2026-09-17","Phone behaviour — portrait and landscape","features/mobile.feature.spec.js","",""
"","6347","The strip offers no way to delete films from the shelf","desktop","2026-09-17","passed","2026-09-17","Deleting films is nowhere near the shared catalogue","features/delete-mode.feature.spec.js","",""
"","5803","The die opens from its address","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","6209","The popover closes on a second tap on the same badge","desktop","2026-09-17","passed","2026-09-17","The award breakdown and the critic popover","features/popovers.feature.spec.js","",""
"","5091","The small grid draws smaller posters than the medium grid","desktop","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","7859","The provider filter is built from the catalogue, or absent","desktop","2026-09-17","passed","2026-09-17","The filter sheet — years and providers","features/filters.feature.spec.js","",""
"","5721","«Створити» opens the new collection window over the page, not behind it","desktop","2026-09-17","passed","2026-09-17","The collections page — top, friends, mine and the SeenIt lists","features/recommendations.feature.spec.js","",""
"","6501","A film card puts the country on its own line under the facts","desktop","2026-09-17","passed","2026-09-17","The open card — facts and a series' seasons","features/film-card.feature.spec.js","",""
"","6202","The shelf's switches ride in a drop on the bar","desktop","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","4873","A Megogo row claims catalogue presence, never a price","desktop","2026-09-17","passed","2026-09-17","""Де подивитись"" — where a film can be watched","features/where-to-watch.feature.spec.js","",""
"","4852","The ""Рекомендую"" count matches the films the archive lists under it","desktop","2026-09-17","passed","2026-09-17","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","7233","«Усі» is lit by default, and a decade narrows the shelf on «Застосувати»","desktop","2026-09-17","passed","2026-09-17","The filter sheet — years and providers","features/filters.feature.spec.js","",""
"","512","A fresh visitor is offered both ways in","desktop","2026-09-17","passed","2026-09-17","Account panel and the onboarding guide","features/account.feature.spec.js","",""
"","5350","The search field opens from its icon and closes on the same control","desktop","2026-09-17","passed","2026-09-17","Core smoke — login, search, movie modal","features/smoke.feature.spec.js","",""
"","657","A fresh visitor on a page is asked to sign in first","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","0","The popover dismisses on a tap outside it","desktop","2026-08-22","skipped","2026-08-22","Award and critic badges and their anchored popover","features/popovers.feature.spec.js","",""
"","4911","A catalog search matching nothing says so","desktop","2026-09-17","passed","2026-09-17","Negative paths — what a person sees when something finds nothing","features/negative.feature.spec.js","",""
"","5457","Adding a title that finds nothing on TMDb reports it","desktop","2026-09-17","passed","2026-09-17","Negative paths — what a person sees when something finds nothing","features/negative.feature.spec.js","",""
"","5842","The guide opens from the account panel with the daily top-20","desktop","2026-09-17","passed","2026-09-17","Account panel and the onboarding guide","features/account.feature.spec.js","",""
"","5032","The ""Дивився"" count matches the films the archive lists","desktop","2026-09-17","passed","2026-09-17","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","7849","authenticate once","setup","2026-09-17","passed","2026-09-17","","../support/auth.setup.js","",""
"","5962","Logging in loads the catalog","desktop","2026-09-17","passed","2026-09-17","Core smoke — login, search, movie modal","features/smoke.feature.spec.js","",""
"","5273","Marking a film watched raises the count and keeps it reachable","desktop","2026-09-17","passed","2026-09-17","Marking a film watched or recommended","features/marks.feature.spec.js","",""
"","6154","A genre option deselects on a second tap","desktop","2026-09-17","passed","2026-09-17","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","4463","The add modal locks scroll and its form fits the screen","phone-portrait","2026-09-17","passed","2026-09-17","Phone behaviour — portrait and landscape","features/mobile.feature.spec.js","",""
"","6119","Back from a page returns to the shelf and the address says so","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","0","The critic badge explains itself in an anchored popover","desktop","2026-08-22","skipped","2026-08-22","Award and critic badges and their anchored popover","features/popovers.feature.spec.js","",""
"","0","Small grid shows the compact award badge instead of full pills","desktop","2026-08-22","skipped","2026-08-22","Card layout across view modes","features/layout.feature.spec.js","",""
"","5847","A mark survives a page reload","desktop","2026-09-17","passed","2026-09-17","Marking a film watched or recommended","features/marks.feature.spec.js","",""
"","5876","A series card shows its seasons, and choosing a season shows its episodes","desktop","2026-09-17","passed","2026-09-17","The open card — facts and a series' seasons","features/film-card.feature.spec.js","",""
"","5425","The door while signed in is the shelf","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","7090","In the small grid the award row keeps working","desktop","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","499","A fresh visitor at the root meets the landing","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","9252","The award row shows sums and unfolds the per-ceremony schedule","desktop","2026-09-17","passed","2026-09-17","The award breakdown and the critic popover","features/popovers.feature.spec.js","",""
"","4221","A page opened from inside the app writes its address","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
